common_voice_pt_38403786|Aviões experimentais como bombardeiros descarregaram e descarregam o objeto descarregado
common_voice_pt_38403789|Dia bom pra morrer
common_voice_pt_38403790|seu xavier, carcereiro, simpatia, suador, suar, sujeira, tacsola, tempestade
common_voice_pt_38403796|O chão do banheiro está molhado.
common_voice_pt_38403797|Parasitas, parasita, parasitagem, parasitado, parasitada, parasitação
common_voice_pt_38403799|inexigibilidade, fiador, difusos
common_voice_pt_38403800|A pressa
common_voice_pt_38403802|Quarta teoria política, politólogo, eurasiana, eurasiano
common_voice_pt_38403809|dissidentes, libertação, hugo chávez, beligerante, insurgentes
common_voice_pt_38403811|homologar
common_voice_pt_38403812|Ele fez uma chacina, um massacre, um tiroteio em massa
common_voice_pt_38403818|georreferenciado
common_voice_pt_38403821|relativos
common_voice_pt_38403828|protocolada
common_voice_pt_38403830|O pão está quente.
common_voice_pt_38403832|obsta
common_voice_pt_38405878|Somali, húngaro, cazaque, zulu, crioulo haitiano, sueco, uigur, uigures
common_voice_pt_38405879|Eu nunca vi isso acontecer.
common_voice_pt_38405880|preventiva, computado, posteriormente, assegurar, temporária, cautelar, ocorrência
common_voice_pt_38405881|rogatória
