common_voice_pt_38405884|autocatalíticas, isobárica, isocórica, isotérmica, adiabática, isentrópica, isentálpica, politrópica, irreversibilidade
common_voice_pt_38405885|reposição
common_voice_pt_38405886|geodésica
common_voice_pt_38405887|tais obrigações do beneficiário.
common_voice_pt_38405888|desobstruir, brocas, dentado, garfo, desdentado, camper, incisal, afastador, romba, gota, baioneta
common_voice_pt_38405889|lácteos, escasseiam, forragens, dispendiosas, conjugar, facetas, maquinaria, duma, equipa
common_voice_pt_38405890|teratógenos, toxicologia, tétano, botulismo, peçonhento
common_voice_pt_38405894|dreno, cárter, sobremarcha, supermultiplicadora, transbordamento, sobreaquecimento, pinhão, cilindrada
common_voice_pt_38405895|chocar, chincheiro, cemitério, cana, prisão, cadeia, presídio, xadrez
common_voice_pt_38405897|colônias, micélio, consumíveis, polipropileno, rotaevaporador, titulador, tituladores, coulométrico
common_voice_pt_38405898|Para viajar basta existir.
common_voice_pt_38405899|ressalvadas
common_voice_pt_38405901|simulados
common_voice_pt_38405903|subutilizadas, degradadas, abandonadas, defensivos, frigoríficos, indústrias têxteis, calçadistas, empacotadores
common_voice_pt_38405905|trânsito em julgado da decisão
common_voice_pt_38405907|quimbundo, castelhano, carbonizadas, inalação, Índia, Nepal, Vedas
common_voice_pt_38405909|Dia bom pra morrer
common_voice_pt_38405910|alcóxidos, salicilaldeído, fenóxido, fenóis, cádmio, dialquilcádmio, catalisadores, reatividade
common_voice_pt_38405911|ostente
common_voice_pt_38405912|permutações, perpendicular, perpendiculares, interceptam, peso, perímetro, área, volume, pictograma, pirâmide
common_voice_pt_38405914|equitativo
common_voice_pt_38405917|rígido, pouco flexível, rijo, hirto, teso
common_voice_pt_38405918|interindividuais, pacificação, conspiração, instituído, compondo
common_voice_pt_38405919|companhia, frente, estado-maior central, contra-inteligência, antipatia, indígenas, afrodescendentes, grotões
common_voice_pt_38405921|monocálcicos, duplo, triplo, precipitados, bicálcico, tricálcico, clorídrico, escória, serranofosfato
common_voice_pt_38405923|A pressa
common_voice_pt_38405924|A narração do leitor do narrador e da narradora
common_voice_pt_38405926|isopropilmagnésio, permuta, acetal, proquiral, dicetonas, aldeído, estereoisômero, enolato, alifáticas
common_voice_pt_38405928|canjibrina, pinga, cano, capim, capim sêco, carango, caranguejeiro, caranguejo, cartear marra
common_voice_pt_38405931|direitos reais
common_voice_pt_38405933|Rosa Luxemburgo
common_voice_pt_38405934|esquizofrenogénica, possessiva, dominadora, esquizofrênicas, neuróticas, mesolímbica, mesocortical
common_voice_pt_38405935|dúzias, grosa, gugol, gugolplex, unidades, hectare, heptacórdio, heptaedro, heptágono, polígino, poliedro, heptagonal
common_voice_pt_38405938|acolher
common_voice_pt_38405939|Aqueia de Micenas, Hélade, dórios, dóricas, genos
common_voice_pt_38405942|Não basta entender a precariedade humanitária do capitalismo, é necessário agir em unidade
common_voice_pt_38405943|Nasal, oclusiva, fricativa, lateral, vibrante, bilabial, labio-dental, dental, alveolar
common_voice_pt_38405945|kratom
common_voice_pt_38405947|na qualidade de sócio, aplicando-se à hipótese
common_voice_pt_38405952|O interpol conseguiu prender células de grupos terroristas neonazistas brasileiros da internet
common_voice_pt_38405953|estabilidade
common_voice_pt_38405955|assessorar
common_voice_pt_38405961|Uma m
common_voice_pt_38405962|Manoel Lisboa
common_voice_pt_38405963|dreque, espolotiado, aprontador, duana, durão, dureza, embandeirado, embarcar, embrulhada
common_voice_pt_38405964|gráfico
common_voice_pt_38405966|drogadição, reabilitação, drogaditos, toxicodependentes, psicoterapia, ímpeto, fermentados
common_voice_pt_38405968|amisulprida, tioridazida, clozapina, refratários, serotoninérgica, sintomatologia, agranulocitose
common_voice_pt_38405969|coação
common_voice_pt_38405970|inventariante
common_voice_pt_38405973|haloalcano, fluoroalcano, cloroalcano, bromoalcano, iodoalcano, alquila, hemiacetal, hemicetal, acetal, cetal, ortoester
